study_id,mext_code,school_name,yotsuya_deviation_value,establishment,school_type,area,prefecture,address,postal_code,study_url
B13P070,C113311200105,成城学園中学校,54,私立,共学校,東京23区,東京都,東京都世田谷区成城６－１－２０,1578511,https://www.study1.jp/kanto/school/B13P070/
B14P022,C113320100090,帝京大学中学校,54,私立,共学校,東京23区外,東京都,東京都八王子市越野３２２,1920361,https://www.study1.jp/kanto/school/B14P022/
B13P101,C113310500113,獨協中学校,54,私立,男子校,東京23区,東京都,東京都文京区関口３－８－１,1120014,https://www.study1.jp/kanto/school/B13P101/
B13P105,C113311400032,明治大学付属世田谷中学校,54,私立,共学校,東京23区,東京都,東京都中野区東中野３－３－４,1640003,https://www.study1.jp/kanto/school/B13P105/
B11P003,C111310900022,青山学院大学系属浦和ルーテル学院中学校,53,私立,共学校,埼玉県,埼玉県,埼玉県さいたま市緑区大字大崎３６４２,3360974,https://www.study1.jp/kanto/school/B11P003/
B13P017,C113310800012,かえつ有明中学校,53,私立,共学校,東京23区,東京都,東京都江東区東雲２－１６－１,1358711,https://www.study1.jp/kanto/school/B13P017/
B15P011,C114310000135,関東学院中学校,53,私立,共学校,神奈川県,神奈川県,神奈川県横浜市南区三春台４,2320002,https://www.study1.jp/kanto/school/B15P011/
B13P024,C113310100037,共立女子中学校,53,私立,女子校,東京23区,東京都,東京都千代田区一ツ橋２－２－１,1018433,https://www.study1.jp/kanto/school/B13P024/
B13P035,C113311500022,佼成学園中学校,53,私立,男子校,東京23区,東京都,東京都杉並区和田２－６－２９,1660012,https://www.study1.jp/kanto/school/B13P035/
B14P009,C113320800020,晃華学園中学校,53,私立,女子校,東京23区外,東京都,東京都調布市佐須町５－２８－１,1828550,https://www.study1.jp/kanto/school/B14P009/
B13P091,C113310300080,芝国際中学校,53,私立,共学校,東京23区,東京都,東京都港区芝４－１－３０,1080014,https://www.study1.jp/kanto/school/B13P091/
B12N001,C112110000015,千葉大学教育学部附属中学校,53,国立,共学校,千葉県,千葉県,千葉県千葉市稲毛区弥生町１－３３,2638522,https://www.study1.jp/kanto/school/B12N001/
B13P031,C113310500060,東洋大学京北中学校,53,私立,共学校,東京23区,東京都,東京都文京区白山２－３６－５,1128607,https://www.study1.jp/kanto/school/B13P031/
B15P042,C114313000059,日本女子大学附属中学校,53,私立,女子校,神奈川県,神奈川県,神奈川県川崎市多摩区西生田１－１－１,2148565,https://www.study1.jp/kanto/school/B15P042/
B11P030,C111322800019,細田学園中学校,53,私立,共学校,埼玉県,埼玉県,埼玉県志木市本町２－７－１,3530004,https://www.study1.jp/kanto/school/B11P030/
B13P122,C113310100117,三輪田学園中学校,53,私立,女子校,東京23区,東京都,東京都千代田区九段北３－３－１５,1020073,https://www.study1.jp/kanto/school/B13P122/
B12P023,C112310000226,麗澤中学校,53,私立,共学校,千葉県,千葉県,千葉県柏市光ヶ丘２－１－１,2778686,https://www.study1.jp/kanto/school/B12P023/
B12P003,C112310000011,国府台女子学院中学部,52,私立,女子校,千葉県,千葉県,千葉県市川市菅野３－２４－１,2728567,https://www.study1.jp/kanto/school/B12P003/
B11C001,C111230100048,埼玉県立伊奈学園中学校,52,公立中高一貫,共学校,埼玉県,埼玉県,埼玉県北足立郡伊奈町学園４丁目１番地１,3620813,https://www.study1.jp/kanto/school/B11C001/
B13P053,C113311200098,昭和女子大学附属昭和中学校,52,私立,女子校,東京23区,東京都,東京都世田谷区太子堂１－７－５７,1548533,https://www.study1.jp/kanto/school/B13P053/
B13P108,C113310500122,日本大学豊山中学校,52,私立,男子校,東京23区,東京都,東京都文京区大塚５－４０－１０,1120012,https://www.study1.jp/kanto/school/B13P108/
B15P050,C114310000260,森村学園中等部,52,私立,共学校,神奈川県,神奈川県,神奈川県横浜市緑区長津田町２６９５,2260026,https://www.study1.jp/kanto/school/B15P050/
B13P012,C113311400041,大妻中野中学校,51,私立,女子校,東京23区,東京都,東京都中野区上高田２－３－７,1640002,https://www.study1.jp/kanto/school/B13P012/
B13P058,C113311700093,北里大学附属順天中学校,51,私立,共学校,東京23区,東京都,東京都北区王子本町１－１７－１３,1140022,https://www.study1.jp/kanto/school/B13P058/
B13P040,C113310500079,駒込中学校,51,私立,共学校,東京23区,東京都,東京都文京区千駄木５－６－２５,1130022,https://www.study1.jp/kanto/school/B13P040/
B15P026,C114320400069,清泉女学院中学校,51,私立,女子校,神奈川県,神奈川県,神奈川県鎌倉市城廻２００,2470074,https://www.study1.jp/kanto/school/B15P026/
B14N001,C113110000032,東京学芸大学附属小金井中学校,51,国立,共学校,東京23区外,東京都,東京都小金井市貫井北町４－１－１,1848501,https://www.study1.jp/kanto/school/B14N001/
B13P119,C113311400023,宝仙学園中学校共学部理数インター,51,私立,共学校,東京23区,東京都,東京都中野区中央２－２８－３,1648628,https://www.study1.jp/kanto/school/B13P119/
B08P011,C108322000012,茗溪学園中学校,51,私立,共学校,茨城県,茨城県,茨城県つくば市稲荷前１－１,3058502,https://www.study1.jp/kanto/school/B08P011/
B13P110,C113311000018,目黒日本大学中学校,51,私立,共学校,東京23区,東京都,東京都目黒区目黒１－６－１５,1530063,https://www.study1.jp/kanto/school/B13P110/
B15N002,C114110000022,横浜国立大学教育学部附属横浜中学校,51,国立,共学校,神奈川県,神奈川県,神奈川県横浜市南区大岡２－３１－３,2320061,https://www.study1.jp/kanto/school/B15N002/
B13P005,C113310500015,跡見学園中学校,50,私立,女子校,東京23区,東京都,東京都文京区大塚１－５－９,1128629,https://www.study1.jp/kanto/school/B13P005/
B13P006,C113310500024,郁文館中学校,50,私立,共学校,東京23区,東京都,東京都文京区向丘２－１９－１,1130023,https://www.study1.jp/kanto/school/B13P006/
B08C008,C108222790018,茨城県立下館第一高等学校附属中学校,50,公立中高一貫,共学校,茨城県,茨城県,茨城県筑西市下中山５９０,3080825,https://www.study1.jp/kanto/school/B08C008/
